problem,N,POP_SIZE,avg_wall_ms,run_ms,fit_ms,upd_ms,heap_ms,other_ms,fit_pct,upd_pct,heap_pct,other_pct
Rastrigin,10,50,12.2,12.9207,4.97404,5.34056,2.24516,0.36092,38.4967,41.3334,17.3765,2.79335
Rastrigin,10,100,24.2,24.5996,9.73596,10.5121,3.98882,0.36264,39.5778,42.733,16.215,1.47417
Rastrigin,10,200,49,49.4753,19.9864,21.1746,7.9121,0.40224,40.3967,42.7983,15.992,0.813011
Rastrigin,10,500,121.2,121.71,49.0797,52.1401,20.0737,0.41632,40.3251,42.8397,16.4931,0.342059
Rastrigin,10,1000,237.8,238.331,97.2925,102.911,37.675,0.4522,40.8224,43.18,15.8079,0.189736
Rastrigin,50,50,45.4,46.0607,15.8448,26.4558,3.35864,0.40144,34.3998,57.4368,7.29177,0.871546
Rastrigin,50,100,87.2,87.8423,30.2501,50.4416,6.76356,0.387,34.4368,57.4229,7.69966,0.440562
Rastrigin,50,200,173,173.596,60.6323,101.451,11.0858,0.42716,34.9273,58.4407,6.38598,0.246066
Rastrigin,50,500,447.4,447.875,152.714,255.142,39.5143,0.505,34.0974,56.9672,8.82262,0.112755
Rastrigin,50,1000,882.8,883.293,304.782,506.902,70.9795,0.6303,34.5052,57.3877,8.03578,0.071358
Rastrigin,100,50,86.6,87.035,28.6509,52.2152,5.7337,0.43518,32.9188,59.9934,6.58781,0.500006
Rastrigin,100,100,173.8,174.184,58.0665,104.705,10.9203,0.4921,33.3363,60.1118,6.26939,0.282517
Rastrigin,100,200,335,335.502,112.647,205.805,16.5672,0.483,33.5757,61.3423,4.93803,0.143963
Rastrigin,100,500,825.4,825.649,272.921,500.053,52.193,0.48182,33.0553,60.5649,6.32145,0.0583565
Rastrigin,100,1000,1619.6,1620,541.416,990.918,87.0136,0.64906,33.4208,61.1679,5.37122,0.0400655
Rastrigin,500,50,411.4,411.938,132.158,258.693,20.4692,0.61762,32.0821,62.799,4.96901,0.14993
Rastrigin,500,100,808.8,809.597,261.64,513.204,34.1123,0.64156,32.3172,63.39,4.21348,0.0792443
Rastrigin,500,200,1664.2,1664.8,542.803,1054.24,66.7838,0.9677,32.6047,63.3256,4.01152,0.0581271
Rastrigin,500,500,4962.4,4962.9,1510.71,2761.53,688.609,2.0544,30.44,55.6434,13.8751,0.0413952
Rastrigin,500,1000,9913.2,9913.74,2942.05,5305.84,1663.69,2.15542,29.6765,53.5201,16.7817,0.0217417
Rastrigin,1000,50,836.2,836.527,269.465,515.307,50.7779,0.97686,32.2123,61.6008,6.07008,0.116776
Rastrigin,1000,100,1710.4,1710.99,547.58,1047.03,114.992,1.38526,32.0037,61.1945,6.72081,0.0809627
Rastrigin,1000,200,3916.8,3917.38,1170.34,2190.29,554.37,2.38282,29.8756,55.912,14.1515,0.0608268
Rastrigin,1000,500,9813.4,9814.06,3011.72,5394.17,1405.49,2.69142,30.6878,54.9636,14.3211,0.0274241
Rastrigin,1000,1000,20780.2,20780.8,6062.33,10787.5,3927.04,3.95844,29.1727,51.9108,18.8974,0.0190485
