impl,limit_train,Ndata,D,K,POP_SIZE,threads,max_iters,avg_ms,best_sse
openmp,5000,5000,784,10,25,2,100,21508,349735
openmp,5000,5000,784,10,25,4,100,12218,349735
openmp,5000,5000,784,10,25,8,100,9096,349735
openmp,5000,5000,784,10,25,16,100,6018,349735
openmp,5000,5000,784,10,25,20,100,4854,349735
openmp,5000,5000,784,10,50,2,100,41402,337031
openmp,5000,5000,784,10,50,4,100,22969,337031
openmp,5000,5000,784,10,50,8,100,17057,337031
openmp,5000,5000,784,10,50,16,100,11164,337031
openmp,5000,5000,784,10,50,20,100,10840,337031
openmp,5000,5000,784,10,100,2,100,83307,324880
openmp,5000,5000,784,10,100,4,100,44402,324880
openmp,5000,5000,784,10,100,8,100,33316,324880
openmp,5000,5000,784,10,100,16,100,23006,324880
openmp,5000,5000,784,10,100,20,100,19865,324880
