Ndata,POP_SIZE,framework,avg_ms,speedup,label
5000,25,OpenMP,4854.0,8.619901112484548,OpenMP(20)
5000,50,OpenMP,10840.0,7.660885608856089,OpenMP(20)
5000,100,OpenMP,19865.0,8.277825320916184,OpenMP(20)
5000,25,OpenCL,6512.0,6.425214987714988,OpenCL(NVIDIA GeForce RTX 3050 Ti Laptop GPU)
5000,50,OpenCL,13251.0,6.266998717077956,OpenCL(NVIDIA GeForce RTX 3050 Ti Laptop GPU)
5000,100,OpenCL,26626.0,6.175880718095095,OpenCL(NVIDIA GeForce RTX 3050 Ti Laptop GPU)
5000,25,CUDA,7791.0,5.370427416249519,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU)
5000,50,CUDA,17130.0,4.847869235259778,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU)
5000,100,CUDA,35489.0,4.6335202457099385,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU)
