Ndata,POP_SIZE,framework,avg_ms,avg_s,speedup,label,best_sse
1000,32,OpenMP,1671.0,1.671,6.649311789347696,OpenMP(16),69649.5
1000,128,OpenMP,6666.0,6.666,6.761326132613261,OpenMP(16),63046.0
1000,512,OpenMP,27075.0,27.075,6.885872576177285,OpenMP(20),59966.4
5000,32,OpenMP,8686.0,8.686,6.2751554225189965,OpenMP(16),351551.0
5000,128,OpenMP,33101.0,33.101,6.641279719645932,OpenMP(20),320786.0
5000,512,OpenMP,126574.0,126.574,6.953805678891399,OpenMP(20),306962.0
1000,32,OpenCL,1164.0,1.164,9.54553264604811,OpenCL(NVIDIA GeForce RTX 3050 Ti Laptop GPU),69657.3
1000,128,OpenCL,4614.0,4.614,9.768313827481578,OpenCL(NVIDIA GeForce RTX 3050 Ti Laptop GPU),63052.5
1000,512,OpenCL,18216.0,18.216,10.234683794466402,OpenCL(NVIDIA GeForce RTX 3050 Ti Laptop GPU),59973.5
5000,32,OpenCL,10026.0,10.026,5.436465190504688,OpenCL(cpu-haswell-12th Gen Intel(R) Core(TM) i7-12700H),351585.0
5000,128,OpenCL,42340.0,42.34,5.192087860179499,OpenCL(cpu-haswell-12th Gen Intel(R) Core(TM) i7-12700H),320820.0
5000,512,OpenCL,176752.0,176.752,4.979694713496877,OpenCL(cpu-haswell-12th Gen Intel(R) Core(TM) i7-12700H),306990.0
1000,32,CUDA,1247.0,1.247,8.91018444266239,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU),69657.3
1000,128,CUDA,4677.0,4.677,9.636732948471241,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU),63052.5
1000,512,CUDA,18297.0,18.297,10.189375307427447,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU),59973.5
5000,32,CUDA,17125.0,17.125,3.182832116788321,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU),351585.0
5000,128,CUDA,76591.0,76.591,2.870219738611586,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU),320820.0
5000,512,CUDA,308736.0,308.736,2.850885546227197,CUDA(NVIDIA GeForce RTX 3050 Ti Laptop GPU),306990.0
