problem,image,thresholds,POP_SIZE,threads,max_iters,avg_ms,best_fitness(neg_sigmaB2)
MultiThreshold_Otsu,1120.jpg,4,20,1,300,3,-3259.61
MultiThreshold_Otsu,1120.jpg,4,40,1,300,5,-3259.61
MultiThreshold_Otsu,1120.jpg,4,80,1,300,8,-3259.61
MultiThreshold_Otsu,1120.jpg,4,160,1,300,14,-3259.61
MultiThreshold_Otsu,2240.jpg,4,20,1,300,3,-3266.99
MultiThreshold_Otsu,2240.jpg,4,40,1,300,7,-3266.99
MultiThreshold_Otsu,2240.jpg,4,80,1,300,8,-3266.99
MultiThreshold_Otsu,2240.jpg,4,160,1,300,14,-3266.99
MultiThreshold_Otsu,330.jpg,4,20,1,300,3,-3230.26
MultiThreshold_Otsu,330.jpg,4,40,1,300,5,-3230.29
MultiThreshold_Otsu,330.jpg,4,80,1,300,8,-3230.29
MultiThreshold_Otsu,330.jpg,4,160,1,300,15,-3230.29
MultiThreshold_Otsu,4480.jpg,4,20,1,300,3,-3270.06
MultiThreshold_Otsu,4480.jpg,4,40,1,300,5,-3270.06
MultiThreshold_Otsu,4480.jpg,4,80,1,300,8,-3270.06
MultiThreshold_Otsu,4480.jpg,4,160,1,300,15,-3270.06
MultiThreshold_Otsu,660.jpg,4,20,1,300,3,-3252
MultiThreshold_Otsu,660.jpg,4,40,1,300,5,-3252
MultiThreshold_Otsu,660.jpg,4,80,1,300,8,-3252
MultiThreshold_Otsu,660.jpg,4,160,1,300,15,-3252
