problem,image,thresholds,POP_SIZE,max_iters,avg_ms,best_fitness(neg_sigmaB2)
MultiThreshold_Otsu,1120.jpg,10,20,300,2,-3339.31
MultiThreshold_Otsu,1120.jpg,10,40,300,5,-3339.34
MultiThreshold_Otsu,1120.jpg,10,80,300,10,-3339.46
MultiThreshold_Otsu,1120.jpg,10,160,300,23,-3339.47
MultiThreshold_Otsu,2240.jpg,10,20,300,2,-3342.57
MultiThreshold_Otsu,2240.jpg,10,40,300,5,-3347.25
MultiThreshold_Otsu,2240.jpg,10,80,300,10,-3347.52
MultiThreshold_Otsu,2240.jpg,10,160,300,19,-3347.51
MultiThreshold_Otsu,330.jpg,10,20,300,2,-3309.19
MultiThreshold_Otsu,330.jpg,10,40,300,6,-3309.56
MultiThreshold_Otsu,330.jpg,10,80,300,10,-3309.55
MultiThreshold_Otsu,330.jpg,10,160,300,21,-3309.59
MultiThreshold_Otsu,4480.jpg,10,20,300,2,-3350.9
MultiThreshold_Otsu,4480.jpg,10,40,300,5,-3350.97
MultiThreshold_Otsu,4480.jpg,10,80,300,14,-3350.98
MultiThreshold_Otsu,4480.jpg,10,160,300,20,-3350.98
MultiThreshold_Otsu,660.jpg,10,20,300,3,-3331.03
MultiThreshold_Otsu,660.jpg,10,40,300,5,-3331.41
MultiThreshold_Otsu,660.jpg,10,80,300,10,-3331.52
MultiThreshold_Otsu,660.jpg,10,160,300,20,-3331.57
MultiThreshold_Otsu,1120.jpg,4,20,300,1,-3259.61
MultiThreshold_Otsu,1120.jpg,4,40,300,3,-3259.61
MultiThreshold_Otsu,1120.jpg,4,80,300,6,-3259.61
MultiThreshold_Otsu,1120.jpg,4,160,300,12,-3259.61
MultiThreshold_Otsu,2240.jpg,4,20,300,1,-3266.99
MultiThreshold_Otsu,2240.jpg,4,40,300,3,-3266.99
MultiThreshold_Otsu,2240.jpg,4,80,300,6,-3266.99
MultiThreshold_Otsu,2240.jpg,4,160,300,12,-3266.99
MultiThreshold_Otsu,330.jpg,4,20,300,1,-3230.26
MultiThreshold_Otsu,330.jpg,4,40,300,3,-3230.29
MultiThreshold_Otsu,330.jpg,4,80,300,6,-3230.29
MultiThreshold_Otsu,330.jpg,4,160,300,12,-3230.29
MultiThreshold_Otsu,4480.jpg,4,20,300,1,-3270.06
MultiThreshold_Otsu,4480.jpg,4,40,300,3,-3270.06
MultiThreshold_Otsu,4480.jpg,4,80,300,6,-3270.06
MultiThreshold_Otsu,4480.jpg,4,160,300,12,-3270.06
MultiThreshold_Otsu,660.jpg,4,20,300,1,-3252
MultiThreshold_Otsu,660.jpg,4,40,300,3,-3252
MultiThreshold_Otsu,660.jpg,4,80,300,6,-3252
MultiThreshold_Otsu,660.jpg,4,160,300,12,-3252
